holiday,show_place,类型_剧情,类型_动作,类型_犯罪,类型_悬疑,类型_爱情,类型_科幻,类型_喜剧,类型_冒险,类型_战争,类型_历史,类型_家庭,year,month,weekday,lasting_date,Avg_Review_Length,Weighted_Sentiment_Score,trend_slope,day_0,day_1, day_2, day_3,day_4,day_5,day_6,day_7,res_fc_feature
休息日,中国大陆,1,0,1,0,0,0,0,0,0,0,1,2021,8,5,31,91.6799307958478,3.05890642239747,0.0927106114080432,1345.63,405.32,192.56,158.52,137.03,120.46,42.78,49.23,510.92197
工作日,中国大陆,0,0,0,0,0,0,0,0,0,0,0,2019,7,4,31,32.6923076923077,3.07646092459533,-0.173492796221029,612.41,769.5,762.48,189.81,162.77,143.04,133.38,29.43,746.84564
工作日,中国大陆,0,0,0,0,1,0,0,0,0,0,0,2019,7,4,28,48.4461538461538,2.76559596911878,0.0050381885884956,947.32,352.83,229.73,86.24,66.03,53.15,7.08,1.84,603.0463
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2019,7,3,73,94.6525423728814,2.33331967127427,0.131578947368421,6471.38,6712.58,10024.41,10248.1,5191.11,4791.5,4457.83,4160.47,60665.758
工作日,中国大陆/泰国/马来西亚,0,0,0,1,0,0,0,0,0,0,0,2019,7,4,55,37.1816638370119,2.70600802595257,0.0,316.14,249.79,196.15,155.72,135.23,129.95,100.58,35.2,724.6316
工作日,中国大陆,1,0,0,0,0,0,1,0,0,0,0,2019,7,4,27,63.2849829351536,2.21174887991625,-0.197902949951648,2010.22,775.32,493.37,187.47,149.66,129.86,17.59,12.35,597.4819
工作日,中国大陆,1,0,0,0,0,0,1,0,0,0,0,2019,7,4,93,109.011925042589,3.22957730252058,-0.0487470142049659,14449.04,23213.9,28844.37,18924.21,19475.5,19725.15,17860.9,20300.19,406112.56
工作日,中国香港/中国大陆,1,1,1,0,0,0,0,0,0,0,0,2019,7,1,30,44.1139896373057,1.48733521834006,-0.0546381965604412,1046.42,410.8,230.99,39.34,34.18,27.67,13.15,13.46,1033.3164
休息日,中国大陆,0,0,0,0,0,0,1,0,0,0,0,2022,12,5,31,59.5655877342419,2.18719538572768,0.117027300698538,6369.56,3783.06,2010.99,1000.66,920.08,897.33,944.02,1533.03,17633.393
休息日,中国大陆/中国台湾/中国香港,0,0,0,1,1,0,0,0,0,0,0,2022,12,5,61,76.2392426850258,2.88464132837043,-0.0394512510744769,3526.05,2841.45,1177.34,1059.13,1003.74,1013.66,1420.55,7375.53,25314.004
工作日,中国大陆,0,1,0,0,0,0,0,0,0,0,0,2022,12,4,22,39.7125850340136,1.95770343249565,-0.106484569642059,29.15,99.71,134.79,87.24,20.55,19.17,18.23,11.67,539.1657
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2017,6,1,61,68.4795221843003,3.46858922854781,0.0,175.21,208.87,249.07,157.16,371.09,534.81,412.87,548.8,4970.7266
工作日,中国大陆,0,1,0,0,0,1,0,0,0,0,0,2017,6,3,31,50.3044982698962,2.31402154545528,0.192307692307692,1799.6,3398.76,3627.92,3104.77,1739.17,1569.41,1437.61,1033.0,13409.493
工作日,中国大陆,0,0,0,0,0,0,0,0,0,0,0,2017,6,4,56,58.1372212692967,3.69442889380341,-0.118841751187742,261.42,428.18,486.16,210.44,218.34,210.56,174.12,71.52,2538.114
工作日,中国大陆,1,1,1,0,0,0,0,0,0,0,0,2017,6,4,29,46.4760273972603,2.99082708705272,-0.0686950729774941,210.61,152.17,148.47,115.91,111.59,107.94,102.71,92.04,578.8818
工作日,美国/中国大陆/加拿大,0,1,0,0,0,1,0,1,0,0,0,2017,6,4,31,52.2695652173913,2.04508996167109,0.0,28959.21,31683.66,22311.17,8509.13,6893.21,6071.75,5298.94,5931.49,115545.61
工作日,中国大陆,1,0,0,0,0,0,1,0,0,0,0,2018,5,4,31,31.0275387263339,2.60550032311707,1.0,628.87,740.51,1096.02,240.32,219.19,205.5,180.18,18.49,686.163
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2018,5,4,61,55.6281833616299,3.31756825867151,-0.0168149035005842,5012.04,7119.87,11364.88,3815.3,3270.72,3029.96,2846.41,3580.14,60143.28
